Time 'S-S'_Phase
84.247 0.0857017
84.247 0.921859
86.2469 0.987831
90.2467 0.0132711
90.2467 0.927808
92.2466 0.895209
94.2464 0.915431
96.2463 0.974458
98.2461 0.974185
102.247 0.000338555
187.926 0.0749452
187.926 0.970365
189.926 0.954473
191.926 0.854474
193.926 0.896324
197.926 0.119847
199.926 0.0562497
199.926 0.865292
201.926 0.775431
205.926 0.00265797
205.926 0.0283247
271.437 0.0839318
271.437 0.849404
273.437 0.979109
275.437 0.839887
279.437 0.0860286
279.437 0.885434
281.437 0.82125
285.437 0.0858065
287.437 0.112037
287.437 0.943991
