Time 'S-S'_Phase
90.2829 0.132933
90.2829 0.748535
92.2828 0.0709938
92.2828 0.74523
94.2827 0.712509
96.2829 0.269368
96.2829 0.782227
98.2834 0.529696
100.283 0.24792
102.283 0.36189
104.283 0.270646
106.283 0.560518
108.283 0.0122312
201.787 0.149488
201.787 0.838373
203.787 0.952386
205.787 0.758516
207.786 0.725923
209.786 0.868769
213.787 0.275841
215.787 0.595007
217.787 0.606362
219.787 0.0142564
306.441 0.117077
306.441 0.864585
308.441 0.494614
308.441 0.846225
312.442 0.0040862
312.442 0.605038
314.442 0.748334
316.442 0.173413
316.442 0.950285
318.442 0.785734
320.442 0.59189
322.442 0.236835
