Time 'S-S'_Phase
84.247 0.573083
86.2469 0.403186
88.2468 0.425495
90.2467 0.427727
92.2466 0.424267
94.2464 0.469899
96.2463 0.429172
98.2461 0.454703
100.247 0.49556
102.247 0.0121567
187.926 0.543743
189.926 0.471406
191.926 0.431175
193.926 0.415722
195.926 0.538555
197.926 0.58828
199.926 0.390781
201.926 0.409729
203.926 0.448859
205.926 0.0124334
271.437 0.511092
273.437 0.500033
275.437 0.581778
277.437 0.416828
279.437 0.424872
281.437 0.422754
283.437 0.397114
285.437 0.295915
287.437 0.505845
