Time NbEvent Period Duration MeanF MeanIF SD_MIF
84.4036 53 NA 0.728214 72.7808 144.764 171.542
85.8209 112 1.41728 1.45176 77.1479 175.45 185.226
88.3534 75 2.53258 0.951 78.8644 167.976 154.166
90.4347 60 2.08126 0.724713 82.7914 171.252 177.555
92.2547 73 1.82003 1.07185 68.1064 164.698 176.943
93.7832 72 1.52843 1.29244 55.7088 143.299 158.691
96.0286 85 2.24549 1.18187 71.9199 167.948 175.103
98.3451 70 2.31644 1.01723 68.8141 170.81 185.723
100.154 66 1.8091 0.961098 68.6715 185.35 203.409
102.446 44 2.29184 0.566157 77.717 172.533 175.553
103.752 14 1.30566 0.818307 17.1085 121.807 185.52
188.061 82 84.3089 0.887049 92.4413 140.582 99.8616
189.79 152 1.72987 1.25209 121.397 208.242 179.506
191.635 194 1.84465 1.5161 127.96 230.516 206.946
193.571 143 1.93609 1.45973 97.9631 216.536 223.205
195.684 88 2.11267 0.904893 97.2491 184.379 181.73
197.923 91 2.23885 1.20569 75.4752 223.719 253.329
199.763 103 1.84059 1.26421 81.4741 192.224 196.328
201.611 77 1.8478 1.23338 62.4299 170.773 181.05
203.627 73 2.016 1.25415 58.2068 141.929 173.648
205.573 56 1.94575 1.21373 46.1388 141.661 170.713
207.76 14 2.18734 0.272769 51.3255 102.184 127.091
271.597 78 63.837 1.08722 71.7429 175.602 209.692
273.018 163 1.42132 1.47015 110.873 201.635 179.016
275.048 123 2.0298 1.25364 98.1141 243.599 230.326
277.089 136 2.041 1.80018 75.5481 216.575 239.837
279.654 77 2.56485 0.960699 80.15 186.779 194.493
281.161 95 1.50636 1.40737 67.502 156.059 168.42
283.108 79 1.94706 1.39099 56.794 168.279 188.179
285.632 49 2.52423 0.625938 78.2825 163.37 154.086
287.019 39 1.3871 1.37884 28.2847 102.982 123.566
288.971 76 1.95229 1.15222 65.9595 172.24 157.729
