Time NbEvent Period Duration MeanF MeanIF SD_MIF
85.3931 149 NA 0.873537 170.571 290.422 226.523
87.0532 124 1.66011 1.23154 100.687 258.734 241.34
89.0977 140 2.0445 1.26619 110.568 273.935 262.296
91.1021 151 2.00436 1.46051 103.388 269.842 249.709
93.095 110 1.99297 1.11029 99.0729 243.028 215.317
95.1862 150 2.09113 1.16507 128.748 272.113 244.378
97.1046 124 1.91839 1.30765 94.8265 274.035 274.199
99.156 128 2.05141 1.14702 111.593 241.051 224.885
101.238 107 2.0822 1.09765 97.4808 239.319 223.924
103.289 93 2.05037 0.964947 96.3784 226.397 216.254
189.013 122 85.7248 0.981543 124.294 248.96 218.435
190.869 146 1.85521 1.4105 103.509 228.756 205.923
192.788 150 1.91943 1.29064 116.221 279.337 277.807
194.757 134 1.96939 1.27146 105.39 275.192 277.466
197.004 104 2.24614 1.06603 97.5586 244.76 227.617
199.103 125 2.09928 0.970842 128.754 254.053 217.634
200.708 117 1.6049 1.15929 100.924 240.283 226.146
202.745 95 2.03779 1.22745 77.3964 210.449 211.031
204.824 92 2.0781 1.18312 77.7606 248.319 261.63
206.74 125 1.9168 1.32848 94.0924 258.007 253.866
272.459 113 65.7185 1.13037 99.967 256.841 251.119
274.437 190 1.9783 1.45401 130.673 298.757 272.751
276.601 134 2.1638 1.11496 120.184 246.772 218.98
278.271 99 1.66998 1.21547 81.4499 236.086 224.184
280.287 125 2.01599 1.18487 105.497 266.395 254.485
282.283 90 1.99563 1.23704 72.7541 217.774 231.882
284.231 127 1.9486 1.26384 100.488 268.592 267.547
286.029 109 1.79754 1.44911 75.2187 245.558 249.135
288.448 131 2.41964 1.25611 104.291 267.437 246.615
