Time NbEvent Period Duration MeanF MeanIF SD_MIF
85.3207 60 NA 0.888186 67.5534 149.899 188.618
86.747 55 1.42638 1.40035 39.2758 114.658 187.116
89.0504 43 2.30338 1.22029 35.2376 108.01 157.731
91.0398 61 1.98941 1.19488 51.0513 132.585 198.195
93.1833 40 2.14348 1.2719 31.449 100.095 122.161
95.0974 46 1.91409 0.893487 51.4837 137.445 200.55
97.3222 37 2.22477 0.714081 51.8149 110.966 128.434
99.3621 52 2.03989 0.754512 68.9187 125.314 124.83
101.353 50 1.99113 1.04548 47.825 132.479 139.768
102.96 57 1.60678 1.02637 55.5356 138.041 205.67
188.82 55 85.8598 0.997452 55.1405 171.512 238.462
190.816 42 1.99637 1.39783 30.0465 163.477 248.07
192.962 59 2.14601 1.10899 53.2016 152.425 210.894
194.684 58 1.72181 1.19897 48.3748 125.68 163.129
196.922 40 2.23774 0.933057 42.8698 142.947 208.739
198.625 78 1.70321 1.39223 56.0252 151.38 204.137
200.888 63 2.26332 1.08784 57.913 124.478 144.794
202.692 55 1.8042 1.15923 47.4453 125.253 140.374
204.765 45 2.07238 0.986763 45.6037 112.041 158.025
207.057 31 2.29202 1.01293 30.6041 95.2156 179.657
272.393 47 65.3363 0.675684 69.5591 151.928 176.603
274.507 28 2.11405 0.815745 34.3245 143.211 187.741
276.427 38 1.91961 1.35782 27.9861 87.5209 90.3332
278.242 42 1.81484 1.00731 41.6953 164.393 246.734
280.231 51 1.98893 1.12238 45.439 130.805 151.95
282.207 51 1.97617 1.21825 41.8635 145.192 200.617
284.201 45 1.99475 1.33464 33.7169 96.2879 166.919
286.117 40 1.91566 1.12312 35.6151 105.247 159.044
288.596 42 2.47938 1.08483 38.7157 121.811 185.111
