Time 'S-S'_Phase
90.2829 0.107005
92.2828 0.263886
92.2828 0.952163
94.2827 0.698914
96.2829 0.167436
96.2829 0.753036
98.2834 0.397316
98.2834 0.778069
100.283 0.773901
102.283 0.725762
104.283 0.926638
106.283 0.995636
108.283 0.0208922
201.787 0.132157
201.787 0.571477
203.787 0.347636
205.787 0.358114
205.787 0.943859
207.786 0.632163
209.786 0.627669
211.787 0.681886
213.787 0.882724
215.787 0.8346
217.787 0.801116
306.441 0.0821708
306.441 0.580063
308.441 0.941522
312.442 0.318055
312.442 0.713448
314.442 0.313871
316.442 0.221843
316.442 0.82228
318.442 0.61306
320.442 0.901749
322.442 0.663297
