Time NbEvent Period Duration MeanF MeanIF SD_MIF
84.4028 178 NA 0.919239 193.638 285.293 222.863
86.3304 163 1.9276 0.994536 163.896 280.702 243.845
88.2268 182 1.89638 1.13611 160.196 287.866 227.176
90.2605 151 2.03368 1.00148 150.777 279.206 242.999
92.157 160 1.89653 1.21841 131.318 248.002 204.069
94.2697 137 2.11268 1.05833 129.449 261.24 227.83
96.1557 150 1.88605 1.17237 127.946 238.016 200.474
98.2589 158 2.10313 1.1482 137.606 246.57 208.248
100.241 131 1.98254 1.08345 120.91 247.943 232.335
102.129 137 1.88735 1.15898 118.207 225.79 193.491
188.005 204 85.8766 0.990039 206.052 306.121 218.154
189.694 193 1.6884 1.386 139.249 288.437 263.942
191.774 183 2.07985 1.43068 127.911 261.281 223.232
193.705 186 1.93175 1.39235 133.587 262.488 220.398
195.751 171 2.04562 1.23151 138.854 243.546 195.986
197.848 151 2.09714 1.21055 124.737 288.33 257.97
199.822 150 1.97405 1.23363 121.592 269.105 239.848
201.707 145 1.88485 1.31672 110.122 265.158 255.754
203.716 158 2.0089 1.29071 122.413 269.696 247.278
205.642 137 1.92575 1.39286 98.3587 237.573 234.985
271.559 202 65.9173 1.05708 191.092 312.486 237.156
273.172 193 1.6133 1.38711 139.139 249.577 215.927
275.18 132 2.00824 1.38248 95.4805 253.679 253.438
277.155 174 1.97431 1.53448 113.394 245.222 221.999
279.22 187 2.06541 1.49346 125.212 238.304 213.731
281.234 190 2.01383 1.58284 120.037 256.556 229.813
283.11 173 1.87583 1.47171 117.55 229.605 199.799
285.437 123 2.3276 1.12684 109.155 237.207 218.621
287.104 153 1.66691 1.49084 102.627 254.918 265.791
289.306 132 2.20121 1.23134 107.2 233.435 229.096
