Time NbEvent Period Duration MeanF MeanIF SD_MIF
84.4184 72 NA 0.766935 93.8802 151.263 118.378
86.0906 104 1.67221 1.17603 88.4333 187.382 170.083
88.2224 72 2.13182 0.969492 74.2657 163.19 148.149
90.2732 86 2.05076 0.916839 93.8005 169.033 161.965
92.1022 98 1.82899 1.22927 79.7222 159.816 132.531
94.0369 84 1.93467 1.03952 80.8067 170.03 196.051
96.0772 93 2.04032 0.906639 102.577 173.028 124.109
98.195 77 2.11782 1.15988 66.3861 145.928 141.472
100.195 76 2.00047 0.822852 92.3617 146.12 116.64
102.276 74 2.08049 0.942264 78.5343 168.182 163.756
188.076 99 85.7998 0.802584 123.352 172.914 92.2779
189.867 86 1.79072 1.15165 74.6753 141.092 107.499
191.835 73 1.96811 1.32238 55.2037 164.104 201.406
193.635 81 1.7999 1.21917 66.4385 150.952 148.258
195.719 89 2.08445 1.0643 83.6232 182.331 183.237
198.166 62 2.44706 0.842124 73.6234 160.826 137.853
200.039 73 1.87258 0.825345 88.4479 180.602 152.683
201.657 83 1.61809 1.21747 68.1742 143.729 130.305
203.477 83 1.82008 1.27712 64.9899 146.237 130.922
206.1 55 2.62319 0.701292 78.4267 150.542 132.497
207.781 14 1.68145 0.299046 46.8155 111.074 95.357
271.604 84 63.8231 0.890919 94.2847 158.39 107.838
273.135 96 1.53096 1.21031 79.3183 141.177 105.03
275.396 52 2.26022 0.795738 65.3481 156.79 118.876
277.117 65 1.72142 1.53569 42.3263 116.938 105.682
279.609 75 2.49215 0.975096 76.9155 158.561 137.372
281.208 76 1.59875 1.38277 54.9621 152.549 141.359
283.079 55 1.87145 1.24294 44.2501 131.644 176.318
285.608 40 2.52906 0.707952 56.501 100.635 74.3133
287.661 36 2.05225 0.517779 69.5277 124.431 105.547
289.325 41 1.66381 0.798069 51.374 132.935 123.819
