Time 'S-S'_Phase
2.90046 0.170781
4.90025 0.281271
6.9001 0.221506
8.90005 0.186003
10.9002 0.288119
12.9009 0.2362
14.9006 0.33048
16.9006 0.51386
18.9004 0.502735
20.9003 0.0152789
333.338 0.188079
335.338 0.355244
337.338 0.190033
339.339 0.235211
341.338 0.264596
343.338 0.504735
345.338 0.517929
347.338 0.506823
349.338 0.568621
351.338 0.0193383
406.474 0.148898
408.474 0.397156
410.474 0.353619
412.474 0.245217
414.474 0.266473
416.474 0.490446
418.474 0.568188
420.474 0.548736
422.474 0.529505
424.474 0.0197691
