Time 'S-S'_Phase
1.43647 0.13093
1.43647 0.665623
3.43634 0.68779
5.43632 0.812216
7.43614 0.818298
9.43699 0.950475
154.723 0.139959
154.723 0.587941
158.724 0.0266885
158.724 0.92304
160.724 0.992398
164.723 0.0460931
166.723 0.0997644
314.971 0.0965876
316.971 0.700665
318.971 0.990204
322.97 0.0438268
322.97 0.979566
324.97 0.891686
326.97 0.937445
330.971 0.108531
330.971 0.942058
488.937 0.104946
490.937 0.00918059
490.937 0.504556
492.937 0.61325
494.937 0.980928
496.938 0.987401
498.938 0.962401
500.938 0.992467
504.938 0.0225031
