Time 'S-S'_Phase
1.41168 0.0787057
1.41168 0.689873
3.41151 0.713949
7.41235 0.018317
7.41235 0.984566
9.41229 0.992165
11.4121 0.941947
13.412 0.966029
15.4119 0.973615
17.4117 0.989447
116.411 0.0813336
116.411 0.742063
118.411 0.782657
120.411 0.905892
124.411 0.0373097
124.411 0.995354
126.411 0.994169
128.412 0.968709
130.412 0.976295
132.411 0.975556
198.946 0.0722813
198.946 0.782532
200.946 0.823144
204.946 0.846141
206.947 0.82058
208.947 0.844691
210.947 0.918316
212.947 0.892869
214.946 0.702257
312.754 0.0600535
312.754 0.73728
314.754 0.918302
316.753 0.958899
318.753 0.949995
320.753 0.858425
322.753 0.841216
324.753 0.963939
328.754 0.00454825
328.754 0.970823
