Time 'S-S'_Phase
2.90046 0.065404
2.90046 0.8922
4.90025 0.686549
6.9001 0.707816
8.90005 0.728993
10.9002 0.774259
12.9009 0.787411
14.9006 0.760053
18.9004 0.0164065
20.9003 0.000378393
333.338 0.0665021
333.338 0.877012
335.338 0.679474
337.338 0.805728
339.339 0.778266
341.338 0.848205
343.338 0.958624
345.338 0.947542
347.338 0.976941
349.338 0.965775
406.474 0.0840526
406.474 0.83787
408.474 0.826753
410.474 0.588682
412.474 0.64236
414.474 0.979788
416.474 0.952468
418.474 0.77882
420.474 0.775694
422.474 0.772668
424.474 0.0272627
478.553 0.0873692
480.553 0.700348
482.553 0.834691
484.554 0.66946
486.554 0.634014
488.554 0.866039
490.554 0.952168
492.554 0.868079
496.553 8.76883e-005
