Time 'S-S'_Phase
1.41168 0.100801
1.41168 0.730025
3.41151 0.770625
5.41145 0.818882
7.41235 0.92391
11.4121 0.0694197
13.412 0.0616546
13.412 0.965126
17.4117 0.0541577
19.4116 0.00245289
116.411 0.0894584
116.411 0.750962
118.411 0.783496
122.411 0.00969017
122.411 0.896999
126.411 0.0989233
128.412 0.0664859
130.412 0.0506407
132.411 0.099329
134.411 0.00283534
198.946 0.0811032
198.946 0.831309
200.946 0.847728
204.946 0.0658108
206.947 0.0736723
206.947 0.840001
208.947 0.888707
212.947 0.0906387
212.947 0.945733
214.946 0.744371
312.754 0.0771817
312.754 0.730595
314.754 0.83576
318.753 0.0296371
320.753 0.0541583
322.753 0.0866647
324.753 0.038526
326.754 0.0706047
328.754 0.0547725
