Time 'S-S'_Phase
1.76245 0.48624
3.76341 0.412527
5.76328 0.416322
7.76308 0.442183
9.76295 0.390818
11.7628 0.438714
13.7627 0.398355
15.7626 0.369068
17.7624 0.361663
19.7633 0.0133926
75.9312 0.352083
77.931 0.245582
79.9309 0.238349
81.9307 0.186967
83.9307 0.168573
85.9316 0.216044
87.9314 0.274993
89.9314 0.212571
91.9311 0.381838
93.9311 0.00774123
184.994 0.330296
186.994 0.234801
188.993 0.194474
190.993 0.154047
192.994 0.168366
194.994 0.21633
196.994 0.253199
198.994 0.279045
200.994 0.293827
202.994 0.0063076
