Time 'S-S'_Phase
122.842 0.0241992
124.842 0.0122369
124.842 0.799905
126.842 0.859628
130.842 0.00523999
132.842 0.00770044
134.843 0.00961256
136.842 0.0263611
138.842 0.0287931
140.842 0.000845887
248.665 0.0187408
248.665 0.935257
250.665 0.679905
252.665 0.195438
252.665 0.940118
254.665 0.970771
256.665 0.987454
260.665 0.0328846
262.665 0.0496277
264.665 0.0377691
266.665 0.0004372
450.528 0.0545358
452.528 0.286133
454.528 0.302897
454.528 0.918646
456.528 0.978354
460.527 0.0237495
462.528 0.0256895
464.528 0.056781
466.528 0.0449068
