Time 'S-S'_Phase
1.76245 0.519314
3.76341 0.522832
5.76328 0.493539
7.76308 0.420123
9.76295 0.512155
11.7628 0.471805
13.7627 0.442478
15.7626 0.512473
17.7624 0.504986
19.7633 0.0192838
75.9312 0.230744
77.931 0.190428
79.9309 0.161135
81.9307 0.0656348
83.9307 0.0142269
85.9316 0.0947031
87.9314 0.418383
89.9314 0.135352
91.9311 0.436987
93.9311 0.00749899
184.994 0.308234
186.994 0.234801
188.993 0.238597
190.993 0.0658569
192.994 0.0580522
194.994 0.106024
196.994 0.0877388
198.994 0.14668
200.994 0.249707
202.994 0.00698993
