Time 'S-S'_Phase
6.55421 0.0453266
6.55421 0.661057
8.5541 0.288391
8.5541 0.962176
10.5541 0.577931
12.5539 0.867505
14.5538 0.994394
16.5537 0.970303
20.5539 0.0156363
22.5542 0.0145177
22.5542 0.978766
141.441 0.0497146
141.441 0.607343
143.441 0.304404
143.441 0.966641
145.44 0.779875
147.44 0.976448
149.44 0.987199
153.44 0.00956722
153.44 0.996561
157.441 0.00728136
159.441 0.000181426
229.8 0.0491452
229.8 0.629963
231.8 0.710422
233.8 0.674337
235.801 0.998591
239.8 0.0325777
241.8 0.00841727
243.8 0.019179
245.8 0.0531602
247.8 3.28963e-005
