Time 'S-S'_Phase
1.76245 0.0232103
1.76245 0.97132
3.76341 0.930964
5.76328 0.934776
7.76308 0.949589
9.76295 0.942355
11.7628 0.979191
13.7627 0.916795
15.7626 0.920626
17.7624 0.957003
75.9312 0.0432191
75.9312 0.837442
77.931 0.841247
79.9309 0.93327
81.9307 0.959083
83.9307 0.940304
85.9316 0.86687
87.9314 0.936796
89.9314 0.973726
91.9311 0.933335
184.994 0.0655629
184.994 0.771515
186.994 0.896646
188.993 0.988682
190.993 0.859582
194.994 0.00675038
194.994 0.745793
196.994 0.848856
200.994 0.0291078
200.994 0.746055
