Time 'S-S'_Phase
6.55421 0.0432009
6.55421 0.666503
8.5541 0.278456
10.5541 0.241717
12.5539 0.613018
14.5538 0.689622
16.5537 0.664258
18.5535 0.650059
20.5539 0.726416
22.5542 0.734801
24.5541 0.0121593
141.441 0.0613325
143.441 0.281167
145.44 0.80311
147.44 0.662786
149.44 0.638664
151.44 0.579711
153.44 0.624986
155.441 0.74008
157.441 0.715946
159.441 0.0196642
229.8 0.0723776
231.8 0.605855
233.8 0.639504
235.801 0.603583
237.801 0.695663
239.8 0.683137
241.8 0.659022
243.8 0.63492
245.8 0.703744
