Time 'S-S'_Phase
1.76378 0.354205
3.76371 0.244217
5.76363 0.443284
7.76345 0.494033
9.76333 0.519772
11.7642 0.459001
15.764 0.0660046
17.7639 0.425776
19.7638 0.00845952
123.643 0.294359
125.643 0.21997
127.643 0.260011
129.643 0.383156
131.643 0.204678
131.643 0.911526
133.644 0.525105
135.643 0.0763224
137.643 0.0642854
139.643 0.187505
141.643 0.0250527
194.675 0.275974
196.675 0.363791
198.675 0.278534
200.674 0.26745
202.674 0.330532
204.674 0.282377
206.674 0.32066
208.675 0.247522
210.675 0.384632
212.675 0.00571785
