Time 'S-S'_Phase
1.76378 0.0451741
1.76378 0.861017
3.76371 0.701583
5.76363 0.616351
7.76345 0.592924
9.76333 0.050275
11.7642 0.0757949
13.7641 0.138886
15.764 0.0412814
17.7639 0.227995
19.7638 0.00346183
123.643 0.0319619
125.643 0.799709
127.643 0.677327
129.643 0.765136
131.643 0.432448
133.644 0.680703
137.643 0.20114
139.643 0.338419
141.643 0.02633
194.675 0.0781869
196.675 0.697548
198.675 0.760633
200.674 0.811348
202.674 0.837358
204.674 0.739757
206.674 0.753189
210.675 0.0879382
210.675 0.891481
