Time 'S-S'_Phase
1.76378 0.354205
3.76371 0.602692
5.76363 0.591627
7.76345 0.864878
9.76333 0.606259
11.7642 0.681509
13.7641 0.509734
15.764 0.140174
15.764 0.708813
17.7639 0.537027
19.7638 0.00536573
123.643 0.538778
125.643 0.367022
127.643 0.244716
129.643 0.690964
131.643 0.593066
133.644 0.198585
135.643 0.199891
137.643 0.176417
137.643 0.757415
139.643 0.783445
141.643 0.0244653
141.643 0.0547662
194.675 0.374868
196.675 0.450321
198.675 0.315619
200.674 0.156198
202.674 0.206915
204.674 0.294738
206.674 0.234153
208.675 0.284599
210.675 0.619513
212.675 0.00634543
