Time 'S-S'_Phase
2.8534 0.283175
4.85334 0.486486
6.85312 0.335157
8.85305 0.209129
10.8529 0.29846
12.8528 0.222995
14.8536 0.34994
16.8535 0.236581
18.8534 0.249908
20.8532 0.00936061
87.9165 0.32097
89.9163 0.321634
91.9162 0.25879
93.9172 0.322373
95.917 0.310407
97.9168 0.323722
99.9167 0.248363
101.917 0.388333
103.917 0.502982
105.916 0.00335121
270.42 0.173379
272.42 0.516059
274.42 0.225382
276.42 0.365325
278.419 0.403995
280.419 0.35398
282.419 0.367302
284.419 0.519665
286.42 0.317408
