Time 'S-S'_Phase
1.76378 0.0451741
1.76378 0.959907
3.76371 0.751028
5.76363 0.641074
7.76345 0.63001
9.76333 0.0749853
9.76333 0.976914
13.7641 0.0647169
15.764 0.0412814
17.7639 0.16619
19.7638 0.00869749
123.643 0.0690465
123.643 0.674753
125.643 0.60191
127.643 0.603166
129.643 0.740412
131.643 0.778397
133.644 0.71779
135.643 0.459472
137.643 0.448373
139.643 0.41259
141.643 0.0142097
194.675 0.0781869
196.675 0.796438
198.675 0.760633
200.674 0.83607
202.674 0.862081
204.674 0.838649
206.674 0.790262
210.675 0.0384898
210.675 0.891481
