Time 'S-S'_Phase
4.1798 0.400536
6.17967 0.284634
8.17955 0.276398
10.1805 0.321838
12.1803 0.453948
14.1802 0.445855
16.1801 0.534777
18.18 0.537452
20.1799 0.518614
22.1797 0.0193122
77.284 0.493047
79.2839 0.398696
81.2838 0.422966
83.2837 0.525942
85.2835 0.471498
87.2834 0.517303
89.2833 0.465943
91.2838 0.446828
93.284 0.546429
95.284 0.0130055
174.747 0.545806
176.746 0.365254
178.746 0.389508
180.746 0.435302
182.746 0.502462
184.747 0.526469
186.747 0.475245
188.747 0.5103
190.746 0.523757
