Time 'S-S'_Phase
4.1798 0.141776
4.1798 0.961184
8.17955 0.0285551
10.1805 0.0954119
12.1803 0.141277
14.1802 0.122412
14.1802 0.607576
16.1801 0.168209
16.1801 0.718061
18.18 0.192445
18.18 0.709957
20.1799 0.173576
20.1799 0.63722
22.1797 0.0040517
22.1797 0.0220512
77.284 0.115702
77.284 0.816484
79.2839 0.48495
81.2838 0.0456088
83.2837 0.105447
85.2835 0.104928
85.2835 0.697908
87.2834 0.118386
87.2834 0.657463
89.2833 0.153369
91.2838 0.144998
93.284 0.179872
93.284 0.665022
95.284 0.00432237
174.747 0.114511
174.747 0.966319
178.746 0.0337309
180.746 0.0795052
182.746 0.103719
184.747 0.116787
186.747 0.119439
186.747 0.680103
188.747 0.154505
190.746 0.178757
