Time 'S-S'_Phase
5.06257 0.46556
7.06247 0.209465
7.06247 0.806482
9.06331 0.498005
11.0632 0.524957
13.063 0.499514
15.0629 0.49502
17.0628 0.542914
19.0627 0.465077
21.0625 0.492024
77.4541 0.472627
79.454 0.426017
81.4548 0.452693
83.4547 0.406297
85.4545 0.464686
87.4545 0.481139
89.4543 0.508101
91.4541 0.419784
93.4541 0.488515
95.4544 0.00952437
201.461 0.480213
203.461 0.454498
205.462 0.481144
207.462 0.466188
209.462 0.493152
211.462 0.530593
213.461 0.473744
215.461 0.511151
217.461 0.475202
