Time 'S-S'_Phase
4.1798 0.368191
6.17967 0.144473
8.17955 0.157864
10.1805 0.160105
12.1803 0.184405
14.1802 0.230226
16.1801 0.470088
18.18 0.278696
20.1799 0.518614
22.1797 0.0107037
77.284 0.417577
79.2839 0.215403
81.2838 0.196551
83.2837 0.317852
85.2835 0.245088
87.2834 0.528084
89.2833 0.261154
91.2838 0.263575
93.284 0.503305
95.284 0.00784988
174.747 0.481112
176.746 0.214306
178.746 0.184667
180.746 0.208886
182.746 0.243819
184.747 0.235378
186.747 0.22726
188.747 0.31623
190.746 0.275788
