Time 'S-S'_Phase
4.1798 0.335846
6.17967 0.133692
8.17955 0.114762
10.1805 0.127758
12.1803 0.152059
14.1802 0.208663
16.1801 0.276023
18.18 0.267915
20.1799 0.249053
22.1797 0.00992111
77.284 0.396015
79.2839 0.452604
81.2838 0.282805
83.2837 0.296288
85.2835 0.212743
87.2834 0.226201
89.2833 0.218039
91.2838 0.252794
93.284 0.287682
95.284 0.0067645
174.747 0.351723
176.746 0.18196
178.746 0.292478
180.746 0.176541
182.746 0.243819
184.747 0.181474
186.747 0.216477
188.747 0.294668
190.746 0.275788
