Time 'S-S'_Phase
1.69959 0.119616
1.69959 0.905658
3.6995 0.822279
5.70044 0.922727
7.70017 0.879077
9.7001 0.848545
11.7 0.975205
13.6999 0.787436
15.6998 0.848649
17.6996 0.857428
19.6994 0.0236112
93.0667 0.142241
95.0666 0.609536
97.0665 0.788248
99.0673 0.783799
101.067 0.74013
103.067 0.735797
105.067 0.783878
107.067 0.818853
109.067 0.958609
165.426 0.144967
167.427 0.00921271
167.427 0.716595
169.427 0.75158
171.427 0.812784
173.427 0.795339
175.426 0.791002
177.426 0.865271
179.426 0.743032
181.426 0.803812
