Time 'S-S'_Phase
4.1798 0.0878666
4.1798 0.637733
4.1798 0.982747
6.17967 0.554177
6.17967 0.985445
8.17955 0.578119
10.1805 0.009154
12.1803 0.0550238
12.1803 0.982252
16.1801 0.0711762
16.1801 0.976815
18.18 0.990275
20.1799 0.939129
77.284 0.104921
77.284 0.676327
79.2839 0.646678
81.2838 0.0456088
83.2837 0.673656
83.2837 0.943204
85.2835 0.654782
87.2834 0.0213521
89.2833 0.0132508
91.2838 0.0156416
93.284 0.0181547
95.284 0.00133753
174.747 0.0605988
174.747 0.653631
176.746 0.990606
178.746 0.982471
180.746 0.974386
182.746 0.976641
184.747 0.957715
186.747 0.928088
188.747 0.898441
