Time 'S-S'_Phase
5.06257 0.0883186
5.06257 0.821843
7.06247 0.544632
9.06331 0.718065
11.0632 0.965082
15.0629 0.0234673
15.0629 0.987531
17.0628 0.993509
21.0625 0.0204802
21.0625 0.963567
77.4541 0.0429908
77.4541 0.870828
79.454 0.844984
81.4548 0.955684
83.4547 0.993141
85.4545 0.967666
87.4545 0.973655
91.4541 0.000630029
91.4541 0.996122
95.4544 3.50921e-005
201.461 0.0505928
201.461 0.878399
203.461 0.831544
205.462 0.931732
207.462 0.927294
209.462 0.964696
211.462 0.960257
213.461 0.966271
215.461 0.919808
217.461 0.978203
